Analyzer:	Hewlett-Packard, E4407B, SG45102005, A.14.06
Angle Counter:	SA 1885 FIRMWARE # A323537A
Number of angles:	2026
Start to End Frequency	2022.5000MHz	2022.5000MHz

Field Amplitude
		Frequencies [MHz]
Angle	2022.50
116.00	-66.939
115.75	-67.040
115.60	-67.039
115.36	-67.095
115.20	-67.095
114.95	-66.750
114.72	-65.659
114.55	-65.659
114.39	-66.705
114.15	-66.451
113.99	-66.453
113.83	-66.453
113.60	-67.091
113.28	-67.367
113.12	-67.367
112.88	-68.424
112.73	-69.393
112.56	-69.393
112.33	-69.393
112.17	-69.393
111.92	-73.305
111.76	-72.509
111.60	-72.509
111.36	-71.705
111.12	-72.757
110.96	-72.757
110.81	-72.757
110.57	-70.061
110.41	-70.306
110.18	-70.306
110.01	-69.353
109.78	-69.508
109.62	-69.508
109.38	-70.599
109.21	-71.887
108.97	-71.887
108.81	-73.072
108.57	-75.427
108.34	-75.693
108.10	-76.573
107.94	-76.407
107.79	-76.647
107.55	-76.217
107.39	-73.836
107.16	-74.885
107.00	-74.885
106.83	-73.105
106.60	-71.995
106.44	-71.995
106.20	-70.794
105.95	-69.624
105.80	-69.624
105.56	-69.488
105.39	-69.222
105.24	-69.927
105.01	-70.046
104.84	-69.772
104.61	-70.164
104.45	-71.435
104.21	-72.304
104.05	-72.497
103.82	-75.884
103.66	-75.697
103.34	-77.805
103.18	-80.579
102.94	-84.088
102.70	-84.088
102.54	-80.197
102.22	-78.301
101.99	-78.301
101.84	-76.548
101.60	-74.958
101.44	-75.495
101.28	-73.939
101.04	-72.885
100.80	-75.189
100.57	-73.906
100.40	-74.558
100.16	-73.490
100.00	-75.395
99.76	-76.364
99.60	-78.414
99.37	-79.413
99.22	-78.392
98.97	-79.282
98.82	-77.553
98.58	-75.341
98.42	-75.281
98.19	-75.281
98.03	-74.558
97.87	-74.615
97.63	-74.615
97.47	-75.253
97.24	-77.367
97.07	-76.232
96.84	-76.716
96.69	-78.738
96.53	-78.738
96.29	-78.738
96.14	-77.962
95.90	-75.727
95.74	-75.450
95.59	-71.015
95.36	-69.878
95.20	-70.005
94.97	-67.390
94.82	-66.912
94.66	-66.551
94.42	-66.551
94.27	-65.460
94.11	-65.108
93.87	-65.108
93.71	-64.766
93.49	-64.736
93.33	-64.542
93.10	-65.766
92.94	-65.723
92.70	-65.752
92.54	-66.465
92.38	-66.168
92.14	-66.810
91.98	-67.731
91.75	-67.570
91.59	-67.900
91.35	-67.900
91.19	-67.545
90.95	-67.883
90.80	-67.883
90.64	-67.173
90.41	-67.749
90.25	-67.749
90.01	-66.618
89.85	-66.852
89.70	-66.870
89.45	-66.694
89.29	-67.325
89.14	-67.377
88.89	-67.627
88.73	-67.532
88.50	-69.161
88.34	-69.974
88.10	-70.400
87.95	-72.446
87.72	-72.446
87.56	-75.727
87.40	-77.644
87.17	-77.644
87.01	-79.267
86.76	-81.126
86.61	-81.135
86.38	-77.887
86.21	-77.202
86.05	-75.497
85.81	-75.864
85.65	-73.761
85.41	-74.937
85.26	-73.860
85.01	-71.941
84.86	-71.130
84.71	-71.130
84.47	-70.673
84.31	-70.720
84.07	-70.720
83.91	-70.070
83.75	-69.560
83.51	-69.560
83.28	-69.070
83.11	-69.219
82.87	-69.646
82.72	-69.829
82.48	-69.587
82.32	-69.146
82.09	-70.531
81.93	-71.298
81.69	-71.383
81.54	-73.720
81.30	-72.968
81.05	-75.836
80.89	-75.836
80.66	-79.934
80.50	-83.662
80.25	-83.662
80.10	-81.459
79.85	-83.900
79.69	-78.903
79.54	-76.399
79.30	-76.751
79.06	-73.442
78.82	-73.704
78.58	-73.047
78.42	-73.047
78.18	-72.968
78.02	-71.819
77.78	-72.193
77.62	-72.581
77.38	-70.959
77.22	-71.489
76.97	-70.428
76.82	-70.776
76.58	-71.271
76.35	-70.684
76.19	-70.313
75.95	-71.428
75.80	-70.839
75.64	-71.480
75.40	-71.824
75.24	-71.824
75.00	-71.709
74.84	-72.772
74.60	-72.772
74.44	-75.293
74.21	-76.468
74.04	-75.832
